Maj_desc,Maj_id,Min_desc,Min_id
Capital,1,Parks and Gardens,72
Capital,1,Roads:Foot paths,5
Capital,1,Roads:Asphalting,1
Capital,1,Roads:Formation of Roads,3
Capital,1,"Land:Land, Ground and Others",75
Capital,1,Borewell and Pumpset,35
Capital,1,Night Shelter related works,89
Capital,1,Swm-equipments,91
Capital,1,Cemetries-Development,95
Capital,1,Roads:Metalling,2
Capital,1,Statue,81
Capital,1,Office And Other Equipments,74
Capital,1,Public Tiolets,80
Capital,1,Developments Of Lakes & Gardens,78
Capital,1,Rain Water Harvesting,71
Capital,1,Electrical:Street Lights,10
Capital,1,Electrical:High Mast Lamps,9
Capital,1,Buildings,8
Capital,1,Drains:UGD lines,7
Capital,1,Water Supply,90
Capital,1,Drains:,6
Capital,1,Roads:Bridges and Culverts,4
,,,
Maintenance,2,Parks and Gardens:Maintenance of Parks and Gardens,31
Maintenance,2,Borewell and Pumpset,37
Maintenance,2,Water : Water Supply,67
Maintenance,2,Parks and Gardens:Fencing,30
Maintenance,2,Electrical:Parks and Gardens,29
Maintenance,2,Electrical:Corporation Buildings,28
Maintenance,2,Electrical : Street Lights,27
Maintenance,2,Building:Corporation Building-Hospital,26
Maintenance,2,Building:Corporation Building-Burial Ground,25
Maintenance,2,Building:Corporation Building-Public Toilet,24
Maintenance,2,Building:Corporation Building-Non Residential,23
Maintenance,2,Building:Corporation Building-Residential,22
Maintenance,2,Drains:Silt Removal,20
Maintenance,2,Drains:Drain Repairs,19
Maintenance,2,Roads:Foot Paths,18
Maintenance,2,Roads:Road Name Boards,17
Maintenance,2,Roads:Road Reflectors,16
Maintenance,2,Roads:Road Dividers,15
Maintenance,2,"Roads:Painting (Zebra Painting, Grill Painting, Curb Stone Painting)",14
Maintenance,2,Roads:Earth Removal,13
Maintenance,2,Roads:Metal Patch,12
Maintenance,2,Roads:Asphalt Patch,11
Maintenance,2,T5 Lights,84
Maintenance,2,Nala Repair Works,82
Maintenance,2,Play Ground,79
Maintenance,2,Drains:CD Repairs,21
Maintenance,2,High Mast Maintenance,85
,,,
Emergency,3,Water:Water Supply,88
Emergency,3,Drains:Repair to UGD Lines,34
Emergency,3,Drains:Slab Over Drains,33
Emergency,3,Drains:Manholes-Repairs and Construction,32
Emergency,3,Roads : Formation of Roads,36
Emergency,3, -,68
,,,
Hired Vehicle Rent,4,Officers,38
Hired Vehicle Rent,4,JCB,39
Hired Vehicle Rent,4,Tractors,40
Hired Vehicle Rent,4,Water Spray,41
,,,
Contingency,5,Operation and maintenance expenses,70
Contingency,5,Sanitation and Ward Cleaning,69
Contingency,5,Human Resource,42
Contingency,5,"Rent,Rates,Taxes and Insurance",43
Contingency,5,Printing and stationary,44
Contingency,5,Travelling and conveyence,45
Contingency,5,Council related expenses,46
Contingency,5,Professional and other fees,47
Contingency,5,Advertisement and publicity,48
Contingency,5,Office expenses,49
Contingency,5,Other general expenses,50
Contingency,5,Power and fuel,51
Contingency,5,Consumtion of stores,52
Contingency,5,Other operating expenses,53
Contingency,5,Interest and finance charges,54
Contingency,5,Election expenses,55
Contingency,5,Programme expenses,56
Contingency,5,Scheme/Project expenses,57
Contingency,5,Advance,58
Contingency,5,Advance adjustment,59
Contingency,5,Outsourced operating expenses,60
Contingency,5,"Suspence-Govt. dues,emd,sd other refunds",61
Contingency,5,Amount Transfer bank to bank,73
,,,
Under 18%,6,Economics programmes 40%,63
Under 18%,6,Others programmes 20%,64
Under 18%,6,Below proverty line (OBC),65
Under 18%,6,Miscellaneous,66
Under 18%,6,Education programmes 40%,62
,,,
Under 22.75%,7,Development-45%,76
Under 22.75%,7,Others-55%,77
Under 22.75%,7,Others 40%,87
Under 22.75%,7,Development 60%,86
,,,
Under 7.25,8,Under 60%,94
Under 7.25,8,Others-55%,83
Under 7.25,8,Under 40%,93
,,,
Under 3%,9,Others 3%,92
,,,
,,,
,,,1
